Column1,original,                              correct
,Bizə yaxınsan),Bizə yaxınsan)
,"Sәnduqi hәyadan yerә mәrcan tökülürdü,Zәhra  qәdәm atdıqca yerә qan tökülürdü.... "," hәyadan yerә mәrcan tökülürdü,Zәhra  qәdәm atdıqca yerә qan tökülürdü. "
,   zedeleneceye ble,   zədələnəcək blin
,Qaqaş mənim kimi oranqutana oxşuyur e.,Qaqaş mənim kimi oranqutana oxşayır .
,  Pulsuzluq ya həkimə inamsızlıq - Tibbi yoxlamaya nə mane olur? (26.01.2018):  via ,  Pulsuzluq ya həkimə inamsızlıq - Tibbi yoxlamaya nə mane olur? (26.01.2018):  
, Aha. Amma Teymurun qəribə stili var idi. Favorutləri udurdu. Zəiflərlə heç-heçə edirdi. Bir dəfə Linaresdə… , Aha. Amma Teymurun qəribə stili var idi. Favoritləri udurdu. Zəiflərlə heç-heçə edirdi. Bir dəfə 
,  Bakıda çoxmərtəbəli binada partlayış olub:  via ,  Bakıda çoxmərtəbəli binada partlayış olub:   
,HeR QaRWiDaN KeCeN QiZiN ArXAsinA BaXMaQDansA aRaDa OZ ARxaNaDa baX.....!!!GoR Bir QaDiNi BiR OmUr YaWadAcaQ... ,HəR QaRşıDaN KeşəN QıZıN ArXAsınA BaXMaQDansA aRaDa öZ ARxaNaDa baX!!!GöR Bir QaDıNı BiR ömür YaşadAcaQ... 
,   Gozde bax bu deq xercliecey axi seninkiler,   Gözdə bax bu dəqiqə xərcləyəcək axı səninkilər
,   fao boom bizdedi onda,    bizdəndir onda
,😊😊😊nenenizde qizil sözler var imish:),😊😊😊nənənizdə qızıl sözlər var imiş:)
,   He ozde resmi sehife de paylawibe ble gor nedi artirin alinda simiclerr,   He özdə rəsmi səhifə də paylaşıb blin gör nədir artırın alında simiclər
,   mezelenirsen ? Ele deyir satmad isdiriy getmey isdiyir?,   məzələnirsən ? Elə deyir satmaq istəyirik getmək istəyir?
,   Telebleri qarsilayan teklif yoxdur onlar(arsenal) razilasdirmasalar biznen onda qala… ,   Tələbləri qarşılayan təklif yoxdur onlar(arsenal) razılaşdırmasalar bizlə onda  
,    cevirdaa,    çevir də
,  Ooyy Muellim nece sevindim.menim kimi insanlarin olmasina minumum temizlik kriteryalari olm… ,  Müəllim necə sevindim mənim kimi insanların olmasına minimum təmizlik kriteryaları 
,Aglayıb üzüldüyünüz mahnıları birdə remix edib oynamagı düşünün😏,Ağlayıb üzüldüyünüz mahnıları bir də remiks edib oynamağı düşünün😏
,😞😞xeyali bele gözeldi,😞😞xəyalı belə gözəldir
,Tezliklə... 💕🌸 ,Tezliklə... 💕🌸 
,Men atmiram ona goremi gelen geden mene çarpir acaba ,Mən atmıram ona gorəmi gələn gedən mənə çarpır 
,  Is movzusunda deqiqsense bir seyler elemee calisaram,  İş mövzusunda dəqiqsənsə bir şeylər eləməyə çalışaram
,"Bircə Allah bilir hardasan indi,Ömrün əvvəlində, ya sonundasan. Ramiz Rövşən","Bircə Allah bilir haradasan indi,Ömrün əvvəlində, ya sonundasan. Ramiz Rövşən"
,hələ də içivizdə bu qış qarı görmək üçün bir ümidcik varmı yəni?,hələ də içinizdə bu qış qarı görmək üçün bir ümid varmı yəni?
,Cibde bes edir,Cibdə bəs edir
,"Hhaahahha axrıncı en yaxşısı idi😂😂 3,4dənəsi yaxşı bidə. Bu axım o birisindən yaxşı idi burda maky… ","axırıncı ən yaxşısı idi😂😂 3,4 dənəsi yaxşı bir də Bu axım o birisindən yaxşı idi burada "
, Teker mövzusuyla raziyam :),Təkər mövzusuyla razıyam :)
,"""IX"" Rum rəqəmini 9 olaraq görərsən. Amma baxış bucağını 180° dəyişib baxarsan, ""XI"", yəni 11 olaraq görərsən.Ona… ","""IX"" Rum rəqəmini 9 olaraq görərsən. Amma baxış bucağını 180° dəyişib baxarsan, ""XI"", yəni 11 olaraq görərsən.Ona"
,Bu bir nece gundur yazdiqlarinizdan soka dusurem heqiqi menada.,Bu bir neçə gündür yazdıqlarınızdan şoka düşürəm həqiqi mənada.
,"Qar da aldatdı bizi, gəlmədi.","Qar da aldatdı bizi, gəlmədi."
,Aaaa menden biri daha:) , məndən biri daha:) 
,Butun isleri ona yükleyib özüm geri yataram ,Bütün işləri ona yükləyib özüm geri yataram 
,"Sırf tvit tutdurmaq üçün səviyyənizi aşağı salacaq sözlərdən istifadə etməyin.Əsas odu öz şəxsi fikirlərinizdi,əsas… ","Sırf tvit tutdurmaq üçün səviyyənizi aşağı salacaq sözlərdən istifadə etməyin.Əsas odur öz şəxsi fikirlərinizdir,əsas "
, Oyii Keşən ildə biz tərəflərə yağmadı bu ildə olmasa day bilmirəm nə edəcəm ,  Keçən ildə biz tərəflərə yağmadı bu ildə olmasa day bilmirəm nə edəcəm 
,  Isin yoxdursa gel menejerim ol.xeyli xeste yigarsan mene:))xanima yaxsi dermatoloq meslehet ede bilerem sadece,  Işin yoxdursa gəl menecerim ol xeyli xəstə yığarsan mənə:))xanıma yaxşı dərmatoloq məsləhət edə bilərəm sadəcə
,Messi hərkəsə sadə insanlar olduğunu başa salır,Messi hər kəsə sadə insanlar olduğunu başa salır
,ALLAH ZEYTUN DALI HEREKATI SEHIDLERINE REHMET ELESIN,ALLAH ZEYTUN DALI HƏRƏKATI ŞƏHİDLƏRİNƏ RƏHMƏT ELƏSİN
,Keçmişim sən oldun.. Gələcəyim də sən ol..,Keçmişim sən oldun.. Gələcəyim də sən ol..
,Ursetde oldun belədidə,oldun belədirdə
,"  Başa düşürəm, cavansız.  Amma həddi qoruyun.","  Başa düşürəm, cavansınız.  Amma həddi qoruyun."
,O mənim başımın bəlası,O mənim başımın bəlası
,o başdanxarab ne gezir orda?,o başdanxarab nə gəzir orada?
,"Başa düşürəm, cavansız.  Amma həddi qoruyun.","Başa düşürəm, cavansınız.  Amma həddi qoruyun."
,Bakını Şeyma Subaşı moduna kim qoşub ala? Qış bitir qarı görmədik.,Bakını Şeyma Subaşı moduna kim qoşub ala? Qış bitir qarı görmədik.
,   kələ kimi oğlandı maşallah :d,   kələ kimi oğlandır maşallah :d
,Hanı qar? Mən niyə görmürəm bəs?,Hanı qar? Mən niyə görmürəm bəs?
,"Menim 15 illik  forum tecrubem var, mezuniyyetime 2 gun elave olur goren?","Mənim 15 illik  forum təcrübəm var, məzuniyyətimə 2 gün əlavə olur gorən?"
,mən də bilmirəm 🤐,mən də bilmirəm 🤐
,Yox adə indi qıcığ olmuram daha :D,Yox adə indi qıcığ olmuram daha :D
,kələ kimi oğlandı maşallah :d,kələ kimi oğlandır maşallah :d
,"sən düzsənsə qorxma, o da düz çıxar. tencere kapak misali 😌","sən düzsənsə qorxma, o da düz çıxar."
,internet də var :') Tbilisidən olan uçuşlara baxırsan şirin-şirin,internet də var :') Tbilisidən olan uçuşlara baxırsan şirin-şirin
,"  Bugün Holokost qurbanlarının Beynəlxalq Anım Günüdür. Bu anım günündə, Birləşmiş Millətlər Təşkilatı hər bir üzv olan dö…","  Bugün Holokost qurbanlarının Beynəlxalq Anım Günüdür. Bu anım günündə, Birləşmiş Millətlər Təşkilatı hər bir üzv olan "
,Baş prokuror: Ötən illərdən bağlı qalmış 400-dən artıq cinayətin üstü açılıb ,Baş prokuror: Ötən illərdən bağlı qalmış 400-dən artıq cinayətin üstü açılıb 
,"dəmiryol vağzalı ən sevdiyim yerlərdən biridir :') adama çox ümid verir, oturub qəşəng şeylər xəyal edirsən","dəmiryol vağzalı ən sevdiyim yerlərdən biridir :') adama çox ümid verir, oturub qəşəng şeylər xəyal edirsən"
,Cəlilabadda axtarışda olan şəxs saxlanılıb - FOTO ,Cəlilabadda axtarışda olan şəxs saxlanılıb - FOTO 
,"""Eynəyimi 500 dollara almışam"" - Elza Seyidcahan - VİDEO - FOTO ","""Eynəyimi 500 dollara almışam"" - Elza Seyidcahan - VİDEO - FOTO "
,"Hər səhər yumurta yeyən kişilər, DİQQƏT - Sizdə bu xəstəliklər yarana bilər ","Hər səhər yumurta yeyən kişilər, DİQQƏT - Sizdə bu xəstəliklər yarana bilər "
,İranda erkən ölüm hallarının səbəbləri açıqlanıb ,İranda erkən ölüm hallarının səbəbləri açıqlanıb 
,şükür bu gün də insanıq djdjd,şükür bugün də insanıq 
,Azərbaycana 50 sm hündürlüyündə qar yağdı - YENİLƏNİB ,Azərbaycana 50 sm hündürlüyündə qar yağdı - YENİLƏNİB 
,"""Mehmetçik"" PKK-nı belə məhv etdi VİDEO ","""Mehmetçik"" PKK-nı belə məhv etdi VİDEO "
,bu havada it çölə çıxmazdı amma mən çıxmışam,bu havada it çölə çıxmazdı amma mən çıxmışam
,Elza Seyidcahan kitab çıxarır ,Elza Seyidcahan kitab çıxarır 
, Kitablar forevəəə😍😍😍,Kitablar 😍😍😍
,Məndə olan bir çox (əgər yaxşı isə) cəhətlərə görə Mark cənablarına borcluyam! Borcu qaytarmaq da çox zor!:),Məndə olan bir çox (əgər yaxşı isə) cəhətlərə görə Mark cənablarına borcluyam! Borcu qaytarmaq da çox zor!:)
,"Biz müştərilərimizə, maliyyə və bank fəaliyyətlərinin əsas hüquqi vəsənədləşmə aspektləri ilə bağlı məsləhətlər ve… ","Biz müştərilərimizə, maliyyə və bank fəaliyyətlərinin əsas hüquqi və sənədləşmə aspektləri ilə bağlı məsləhətlər  "
,Əhəd Abıyevin qardaşı oğlu sahibkarlara pul atıb-ŞİKAYƏT ,Əhəd Abıyevin qardaşı oğlu sahibkarlara pul atıb-ŞİKAYƏT 
,Barmaqlarımın arasında barmaqların olmalı idi siqaret yox,Barmaqlarımın arasında barmaqların olmalı idi siqaret yox
,Neçə gündür əksəriyyət telekanallarımızın mənasız verilişlərindən yazır. Mən artıq neçə ildir baxmıram.... ,Neçə gündür əksəriyyət telekanallarımızın mənasız verilişlərindən yazır. Mən artıq neçə ildir baxmıram. 
," Hə, bilmirəm niyə ama qıcığ olurdum 😂😂","Hə, bilmirəm niyə ama qıcığ olurdum 😂😂"
,Canın cənnətlik 💞🌸,Canın cənnətlik 💞🌸
,Əslində Teymur karyerasına mox güclü başlamışdı. O dövrlər idmanın yaşı daha böyük idi. Gec tanınırdı idma… ,Əslində Teymur karyerasına çox güclü başlamışdı. O dövrlər idmanın yaşı daha böyük idi. Gec tanınırdı 
, niyə yox? səbəb?,niyə yox? Səbəb?
,Havanı belə söyürəm,Havanı belə söyürəm
,Rəsmi: Cardona zədəsindən tam sağalıb. #fcbbazelive,Rəsmi: Cardona zədəsindən tam sağalıb. 
,Napolinin müdafiəçisi Spartakda ,Napolinin müdafiəçisi Spartakda 
,Hamiləlikdə ürəkbulanmanı azaltmağın YOLLARI ,Hamiləlikdə ürək bulanmanı azaltmağın YOLLARI 
,  #uşaqvaxtı yerli sakinlərin qoyub getdiyi uçmuş evlərdə yaşayırdıq. Hər gün müharibə başlayırdı.Hər gün ölürdük. #Füzuli…,  uşaqvaxtı yerli sakinlərin qoyub getdiyi uçmuş evlərdə yaşayırdıq. Hər gün müharibə başlayırdı.Hər gün ölürdük. Füzuli
,Son zamanlar bir çoxlarınızı maraqlandıran suala artıq MushviqShahverdiyev cavab tapdı!#CinemaPlus #GəncəMall... ,Son zamanlar bir çoxlarınızı maraqlandıran suala artıq Muşviq Şahverdiyev cavab tapdı! 
,Görən bizdə nə vaxt edəcəklər ,Görən bizdə nə vaxt edəcəklər 
, Ciddən mox geridəsəne. Almaniya yığması ilə oynayan San Marino kimisən.,Ciddən çox geridəsən. Almaniya yığması ilə oynayan San Marino kimisən.
,  Korealı oglanlarrr,  Korealı oğlanlar
,"  Eynən məndə də,  ilk vaxtlarda dalaşıb qıcığ olduğum adamların yeri sonradan ürəyimdə əvəzsiz olur ❤ ","  Eynən məndə də,  ilk vaxtlarda dalaşıb qıcığ olduğum adamların yeri sonradan ürəyimdə əvəzsiz olur ❤ "
,"Eynən məndə də,  ilk vaxtlarda dalaşıb qıcığ olduğum adamların yeri sonradan ürəyimdə əvəzsiz olur ❤ ","Eynən məndə də,  ilk vaxtlarda dalaşıb qıcığ olduğum adamların yeri sonradan ürəyimdə əvəzsiz olur ❤ "
,evdə bu qədər şəraitsizlikdə bu qədər işi necə bacarıram özüm də hayret edirəm 😯 #yaşasınyaxşılıq,evdə bu qədər şəraitsizlikdə bu qədər işi necə bacarıram özüm də hayret edirəm 😯 yaşasın yaxşılıq
,"300-500 adam yola getmir burda, ozu de oturub gozleyirler ki, kimse bir sehv elesin, surusunler. Son… ","300-500 adam yola getmir burada, özü də oturub gözləyirlər ki, kimsə bir səhv eləsin, sürüsünlər. Son "
, Plankton galaktikası,Plankton qalaktikası
,Bakının mərkəzində baş vermiş partlayışdan daha bir görüntü ,Bakının mərkəzində baş vermiş partlayışdan daha bir görüntü 
,"Sıravi vətəndaşın fəryadı: ""Millətə yalan məlumatlar deyil, çörək vermək lazımdır"". ","Sıravi vətəndaşın fəryadı: ""Millətə yalan məlumatlar deyil, çörək vermək lazımdır"". "
,27 yanvar sevgi etirafı günüdür. Hər kəs sevgilisinə sevdiyinə dostuna və ya ailə üzvünə  sevgisini etiraf eləsin.M… ,27 yanvar sevgi etirafı günüdür. Hər kəs sevgilisinə sevdiyinə dostuna və ya ailə üzvünə  sevgisini etiraf eləsin.
,Kimdi bu?,Kimdir bu?
,"Hə dəə, facebookdan iqtidarın proektləri gəldi dağıtdı huzurunuzu","Hə də, feysbukdan iqtidarın proektləri gəldi dağıtdı hüzurunuzu"
,"And içmə, sənə inanıram","And içmə, sənə inanıram"
,Bir dəfə Teymur udmuşdu bunu :)),Bir dəfə Teymur udmuşdu bunu :))
,300 saylı məktəbin direktoru İradə Xəlilova “nataraz ailə” adlandırdığı şagirdi polisə verdi ,300 sayılı məktəbin direktoru İradə Xəlilova “nataraz ailə” adlandırdığı şagirdi polisə verdi 
,Sabah səhər yuxudan duran kimi saat 12:00da Atv Kulisdə görüşürük. kamran.m.yunis cavidannovruz… ,Sabah səhər yuxudan duran kimi saat 12:00-da Atv Kulisdə görüşürük. Kamran yunis cavidan novruz… 
,"  Sənin siqaretinin adı nə idi? Bəyim, sən çəkdiyindən ucuz və daha yaxşıdır))","  Sənin siqaretinin adı nə idi? Bəyim, sən çəkdiyindən ucuz və daha yaxşıdır))"
,Çox sağol can) öpürəm,Çox sağol can) öpürəm
,Cənnət budure😍Pulum olsaydı alardım ama gel ki atalarının qiymetlerini qoyublar üstlerine-_- ,Cənnət budur😍Pulum olsaydı alardım ama gəl ki atalarının qiymətlərini qoyublar üstlərinə 
,  Biz qara camaatıq. :),  Biz qara camaatıq. :)
,Binada partlayan qazın Azəriqaz IB heç bir aidiyyatı yoxdur...,Binada partlayan qazın Azəriqaz IB heç bir aidiyyatı yoxdur...
,"Salam, mən Tibb Universitetində oxuyan, amma gələcəkdə həkim olub-olmayacağına hələ də əmin ola bilməyən tələbəyəm.","Salam, mən Tibb Universitetində oxuyan, amma gələcəkdə həkim olub-olmayacağına hələ də əmin ola bilməyən tələbəyəm."
,Təhmin uğurlar abi (y)Milli filmlərimizə dəstək olaq! ,Təhmin uğurlar Milli filmlərimizə dəstək olaq! 
,  6cı gün heç olmasa tam gün işlәmәyin ),  6-cı gün heç olmasa tam gün işlәmәyin )
,Effektiv seminara görə təşəkkürlər Rustam Hajiyev! :) — attending Layihələrin idarə olunmasında effektiv kommunikasiya qurulması,Effektiv seminara görə təşəkkürlər Rustam Hacıyev! :) —  Layihələrin idarə olunmasında effektiv kommunikasiya qurulması
,"  İşdən çıxa bilsəm inşallah, yaxşı.:)","  İşdən çıxa bilsəm inşallah, yaxşı.:)"
,"Salam, mәn Azәrbaycanda özünü başqalarının babası elan etmәyәn, hәqiqәtlәri bacardığı qәdәr çatdırmaq istәyәn cәmi… ","Salam, mәn Azәrbaycanda özünü başqalarının babası elan etmәyәn, hәqiqәtlәri bacardığı qәdәr çatdırmaq istәyәn cәmi "
,  Mən vermirəm :d,  Mən vermirəm :d
,Müsavat Partiyası seçki hazırlıqlarına start verdi ,Müsavat Partiyası seçki hazırlıqlarına start verdi 
,artıq laykların da önəmsizləşib 😒,artıq laykların da önəmsizləşib 😒
,  Gәl Venesiyaya ),  Gәl Venesiyaya )
,Alınmeeeer :),Alınmır :)
,"Tebii ki, Venesiyada","Təbii ki, Venesiyada"
,"  Lider TV-nin 7 gün proqramında...Kitab və mütaliə mədəniyyətindən, elektron kitabxanalar, əngəlli kreativlərlə... ","  Lider TV-nin 7 gün proqramında...Kitab və mütaliə mədəniyyətindən, elektron kitabxanalar, əngəlli kreativlərlə... "
,Can Ay Maral yenede yaddashlardasan:) arxiv ,Can Ay Maral yenə də yaddaşlardasan:) arxiv 
,"Kabildə intiharçı hücumu: Ən azı 40 nəfər öldü, 140 nəfər yaralandı ","Kabildə intiharçı hücumu: Ən azı 40 nəfər öldü, 140 nəfər yaralandı "
,  Yerin görünürdüüü yenə &lt;33,  Yerin görünürdü yenə 
,Tökülən qaşlar üçün MASKA ,Tökülən qaşlar üçün MASKA 
," Biz axsham gedirik qabirgalarin ichinde plov yemeye, adi tac plovdu","Biz axşam gedirik qabırğaların içində plov yeməyə, adı tac plovdur"
,"Sesi , canli performansi olmayan ama medya gucu , sansli yapay sarkilari olan cd sarkicisi ","Səsi , canlı performansı olmayan amma medya gücü , şanslı yapay  olan  "
,"Bir daha əşşi yazmaqla, deməklə heç nə dəyişən deyil şüarı altında yaşayanların nəzərinə. Saat 15:00 radələrində... ","Bir daha əşi yazmaqla, deməklə heç nə dəyişən deyil şüarı altında yaşayanların nəzərinə. Saat 15:00 radələrində... "
,  Mən heç də :d,  Mən heç də :d
,ALLAH kömeyin olsun!,ALLAH köməyin olsun!
,dunen 25 deyqe zad baxdim ele firranirdi,dünən 25 dəqiqə zad baxdım elə fırlanırdı
,Qorxan gözə çöp düşər,Qorxan gözə çöp düşər
,  Ahhaha nə əlaqə? :d,nə əlaqə? :d
,Ərdoğan Türkiyə ordusunun İraq sərhədinə qədər irəliləcəyini bildirdi ,Ərdoğan Türkiyə ordusunun İraq sərhədinə qədər irəliləyəcəyini bildirdi 
, Evvel tekerlerini al. Bir defeye çox güc düşmesin sene;),Əvvıl təkərlərini al. Bir dəfəyə çox güc düşməsin sənə;)
,       Biz də səni sevirik,       Biz də səni sevirik
,Gördüm skfakjf ,Gördüm  
,     Biz də səni sevirik,     Biz də səni sevirik
,Dietada olanda bir bunden imtina eleye bilmirem de,Dietada olanda bir bundan imtina eləyə bilmirəm də
,getdiy onda :d,getdik onda :d
,  çəkim atacamsjajs,  çəkimi atacağam
,Sumqayıta yağmır amma😳,Sumqayıta yağmayır amma😳
,indi də hətda :d,indi də hətda :d
,"“ÜNSİYYƏT eyni dili danışmaq deyil, eyni duyğuları paylaşmaqdır” Cəlaləddin Rumi Mövlana“COMMUNICATION is the not… ","“ÜNSİYYƏT eyni dili danışmaq deyil, eyni duyğuları paylaşmaqdır” Cəlaləddin Rumi Mövlana“"
,yedim susdum,yedim susdum
,özümü yaxşı hiss eləmiyən kimi bəzənib şəkil çekdirirəm hə gicəm,özümü yaxşı hiss eləməyən kimi bəzənib şəkil çəkdirirəm hə gicəm
